"AnalyseVidéo: Temps (s)";"AnalyseVidéo: X (m)";"AnalyseVidéo: Y (m)";"AnalyseVidéo: Xmod (m)";"AnalyseVidéo: Ymod (m)"
0;-0,00266589899828;-0,00533179799657;-0;-0,000146477966937
0,04;0;-0,0479861819691;0;-0,0541675521739
0,08;0,00266589899828;-0,125297252919;0;-0,123659362925
0,12;0,00533179799657;-0,207940121866;0;-0,208621910221
0,16;0,00266589899828;-0,306578384803;0;-0,309055194062
0,2;0,00533179799657;-0,423877940727;0;-0,424959214447
0,24;0,00266589899828;-0,55983878964;0;-0,556333971376
0,28;0,00799769699485;-0,69846553755;0;-0,70317946485
0,32;0,00533179799657;-0,866417174442;0;-0,865495694868
0,36;0,00533179799657;-1,05303010432;0;-1,04328266143
0,4;0,00266589899828;-1,2369771352;0;-1,23654036454
0,44;0,0213271919863;-1,43691956007;0;-1,44526880419
0,48;0,00799769699485;-1,67151867192;0;-1,66946798039
